iter	RMSE
0	34.24278508
1	33.03061429
2	32.0706133
3	31.15220426
4	30.29161663
5	29.60799965
6	28.99763077
7	28.37764747
8	27.86605271
9	27.43099529
10	27.03659876
11	26.65938921
12	26.3564568
13	26.06949029
14	25.88213364
15	25.64334009
16	25.44548013
17	25.29067862
18	25.14444571
19	24.9467455
20	24.79337475
21	24.65493396
22	24.51770521
23	24.41168992
24	24.27944732
25	24.16388951
26	24.0752473
27	23.9771593
28	23.91252694
29	23.84934349
30	23.77492583
31	23.69952753
32	23.64019535
33	23.57485005
34	23.52575937
35	23.47357987
36	23.42151218
37	23.37395054
38	23.31343415
39	23.27092828
40	23.23074854
41	23.19869186
42	23.17326804
43	23.10958174
44	23.05620816
45	23.02237865
46	22.98714522
47	22.95646116
48	22.93223906
49	22.89939907
50	22.85652803
51	22.82964807
52	22.80042653
53	22.77096592
54	22.74533649
55	22.72769502
56	22.68469782
57	22.6598536
58	22.64439111
59	22.62332357
60	22.61225416
61	22.58908473
62	22.56415242
63	22.5441239
64	22.52655124
65	22.51779204
66	22.49485907
67	22.46127418
68	22.42636372
69	22.3960447
70	22.38068225
71	22.33725546
72	22.31228087
73	22.29824643
74	22.2830568
75	22.25919557
76	22.23642589
77	22.20997374
78	22.18580741
79	22.16396792
80	22.13540042
81	22.11443379
82	22.10056874
83	22.08458329
84	22.04268356
85	22.0078601
86	21.9731846
87	21.96050256
88	21.92965273
89	21.89628978
90	21.87650819
91	21.84969615
92	21.82717563
93	21.80848684
94	21.79560369
95	21.75411157
96	21.73271654
97	21.70678196
98	21.68674197
99	21.66348613
100	21.64108291
101	21.62086045
102	21.60597008
103	21.57531171
104	21.54998528
105	21.51851786
106	21.50359813
107	21.4876356
108	21.46627722
109	21.44484063
110	21.42634563
111	21.40314187
112	21.37431634
113	21.34594511
114	21.32828344
115	21.3264451
116	21.29016044
117	21.26816512
118	21.24284367
119	21.2251743
120	21.20948873
121	21.19113242
122	21.18933747
123	21.17319124
124	21.15029616
125	21.13177967
126	21.1114672
127	21.08845924
128	21.06916226
129	21.04467087
130	21.02550459
131	21.01009389
132	20.98723151
133	20.9664332
134	20.96476241
135	20.95084616
136	20.93098741
137	20.90931979
138	20.89480455
139	20.88863875
140	20.86345936
141	20.86167237
142	20.84402913
143	20.82742693
144	20.81442156
145	20.79790389
146	20.78532972
147	20.77171953
148	20.75616409
149	20.73253464
150	20.71811028
151	20.70357267
152	20.68841308
153	20.66489085
154	20.64861998
155	20.62905637
156	20.6194464
157	20.59377327
158	20.58237349
159	20.57887031
160	20.56634218
161	20.53745414
162	20.51400984
163	20.51243778
164	20.50024178
165	20.48842274
166	20.47189743
167	20.45908239
168	20.44416471
169	20.42562076
170	20.4125661
171	20.39635631
172	20.37960584
173	20.36581818
174	20.33958005
175	20.31752437
